"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TE","Total employment","A","Annual","1985","1985","HOUR","Hours","0","Units",,,1876,,
"AUS","Australia","TE","Total employment","A","Annual","1986","1986","HOUR","Hours","0","Units",,,1877,,
"AUS","Australia","TE","Total employment","A","Annual","1987","1987","HOUR","Hours","0","Units",,,1889,,
"AUS","Australia","TE","Total employment","A","Annual","1988","1988","HOUR","Hours","0","Units",,,1885,,
"AUS","Australia","TE","Total employment","A","Annual","1989","1989","HOUR","Hours","0","Units",,,1875,,
"AUS","Australia","TE","Total employment","A","Annual","1990","1990","HOUR","Hours","0","Units",,,1853,,
"AUS","Australia","TE","Total employment","A","Annual","1991","1991","HOUR","Hours","0","Units",,,1854,,
"AUS","Australia","TE","Total employment","A","Annual","1992","1992","HOUR","Hours","0","Units",,,1846,,
"AUS","Australia","TE","Total employment","A","Annual","1993","1993","HOUR","Hours","0","Units",,,1856,,
"AUS","Australia","TE","Total employment","A","Annual","1994","1994","HOUR","Hours","0","Units",,,1874,,
"AUS","Australia","TE","Total employment","A","Annual","1995","1995","HOUR","Hours","0","Units",,,1870,,
"AUS","Australia","TE","Total employment","A","Annual","1996","1996","HOUR","Hours","0","Units",,,1862,,
"AUS","Australia","TE","Total employment","A","Annual","1997","1997","HOUR","Hours","0","Units",,,1861,,
"AUS","Australia","TE","Total employment","A","Annual","1998","1998","HOUR","Hours","0","Units",,,1850,,
"AUS","Australia","TE","Total employment","A","Annual","1999","1999","HOUR","Hours","0","Units",,,1856,,
"AUS","Australia","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1852,,
"AUS","Australia","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1829,,
"AUS","Australia","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1818,,
"AUS","Australia","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1807,,
"AUS","Australia","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1811,,
"AUS","Australia","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1808,,
"AUS","Australia","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1802,,
"AUS","Australia","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1803,,
