"Territorial emissions in MtCO₂"
;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;"Antigua and Barbuda";Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;"Bonaire, Saint Eustatius and Saba";"Bosnia and Herzegovina";Botswana;Brazil;"British Virgin Islands";"Brunei Darussalam";Bulgaria;"Burkina Faso";Burundi;Cambodia;Cameroon;Canada;"Cape Verde";"Cayman Islands";"Central African Republic";Chad;Chile;China;Colombia;Comoros;Congo;"Cook Islands";"Costa Rica";"Côte d'Ivoire";Croatia;Cuba;Curaçao;Cyprus;"Czech Republic";"Democratic Republic of the Congo";Denmark;Djibouti;Dominica;"Dominican Republic";Ecuador;Egypt;"El Salvador";"Equatorial Guinea";Eritrea;Estonia;Ethiopia;"Faeroe Islands";"Falkland Islands (Malvinas)";Fiji;Finland;France;"French Guiana";"French Polynesia";Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;"Hong Kong";Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kosovo;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;"Macedonia (Republic of)";Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;"Marshall Islands";Martinique;Mauritania;Mauritius;Mexico;"Micronesia (Federated States of)";Moldova;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;"New Caledonia";"New Zealand";Nicaragua;Niger;Nigeria;Niue;"North Korea";Norway;"Occupied Palestinian Territory";Oman;Pakistan;Palau;Panama;"Papua New Guinea";Paraguay;Peru;Philippines;Poland;Portugal;Qatar;"Republic of South Sudan";Réunion;Romania;"Russian Federation";Rwanda;"Saint Helena";"Saint Kitts and Nevis";"Saint Lucia";"Saint Pierre and Miquelon";"Saint Vincent and the Grenadines";Samoa;"Sao Tome and Principe";"Saudi Arabia";Senegal;Serbia;Seychelles;"Sierra Leone";Singapore;Slovakia;Slovenia;"Solomon Islands";Somalia;"South Africa";"South Korea";Spain;"Sri Lanka";Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Tanzania;Thailand;Timor-Leste;Togo;Tonga;"Trinidad and Tobago";Tunisia;Turkey;Turkmenistan;"Turks and Caicos Islands";Tuvalu;Uganda;Ukraine;"United Arab Emirates";"United Kingdom";"United States of America";Uruguay;Uzbekistan;Vanuatu;Venezuela;Vietnam;"Wallis and Futuna Islands";"Western Sahara";Yemen;Zambia;Zimbabwe
1960;0.41388;2.0225;6.1512;;0.54895;;0.03664;48.7645;7.2021;0.61856;88.1189;30.7845;20.573;0.41037;0.57525;2.2119;0.17221;45.2187;90.9081;0.043968;0.16122;0.15755;;1.0038;0.46548;5.2483;;46.8518;;0.33342;22.2707;0.043968;0.036431;0.2345;0.27114;192.7162;0.021954;;0.087936;0.05496;13.4765;778.9795;16.3905;0.010992;0.2235;;0.49098;0.46166;5.7175;13.6871;8.9591;0.88633;99.0515;2.3185;29.7495;0.040304;0.010992;1.0399;1.7616;16.0327;0.61886;0.021984;;10.4694;0.35163;0.058624;;0.19419;15.0869;271.3608;;0.03664;0.1319;0.01832;11.0328;813.9502;1.4619;;9.3915;0.2235;0.021984;;1.3442;0.41037;0.01832;0.65952;0.28558;0.6154;2.9526;45.3283;1.2125;120.576;21.3852;37.3586;8.2562;11.1685;6.46;109.2031;1.4684;232.4996;0.74314;93.2429;2.4241;;;7.797;8.5857;0.080608;6.693;2.576;;0.16488;0.6925;;12.4479;11.5078;0.051296;3.8485;0.39938;0.43835;4.2015;;0.12091;0.34075;;;0.03664;0.17954;63.0523;;11.0332;1.2934;0.51708;;3.636;1.8824;2.7148;;;0.080608;73.4376;0.86104;11.5318;0.53116;0.029312;3.4032;;23.7884;13.0868;;;11.9264;;0.99616;0.17954;0.30405;8.1646;8.3251;199.5771;8.2135;0.17587;0.11328;;53.3941;887.6664;0.069825;;;0.014656;0.03664;0.010992;0.014656;0.010992;2.6744;0.82738;15.2915;;0.71448;1.3923;31.6702;4.3493;0.010992;0.084272;97.8435;12.5401;48.8656;2.2567;1.2456;0.43235;0.032976;49.1705;19.4949;3.2187;11.8739;4.0647;0.82806;3.7095;;0.065952;0.010992;2.5787;1.7241;16.7985;16.2488;;;0.42106;269.0622;0.010992;584.02;2887.8204;4.3145;43.7171;;57.0168;7.4839;;;3.631;4.3553;5.9431
1961;0.4908;2.279;6.0559;;0.45371;;0.047632;51.1267;7.4316;0.64555;90.5039;31.824;21.2364;0.54594;1.7697;2.2904;0.19419;46.6487;92.6983;0.03664;0.12824;0.17587;;1.0404;0.48579;5.5011;;49.1445;;0.30411;25.945;0.0916;0.047737;0.28579;0.28213;194.0007;0.021954;;0.087936;0.051296;14.4582;550.9585;18.1963;0.010992;0.26747;;0.49098;0.55326;5.9933;12.1683;9.35;0.86432;107.5071;2.3554;31.7019;0.043968;0.010992;1.0286;1.6442;17.0659;0.58228;0.021984;;10.8012;0.34063;0.11358;;0.16854;14.9217;281.3733;;0.058624;0.16488;0.021984;11.3803;834.8396;1.3447;;9.8084;0.29312;0.01832;;1.4065;0.61555;0.029312;0.73646;0.29661;0.73629;3.3701;48.9299;1.0916;130.3929;26.0016;36.5088;8.7092;12.3526;7.0608;124.3749;2.1279;282.7869;0.9774;96.1649;2.3986;0.007328;;9.9734;8.8548;0.11358;6.9037;2.6785;;0.16122;1.1945;;12.847;11.581;0.069616;4.0339;0.35541;0.37332;4.6849;;0.11725;0.29312;;;0.047632;0.18686;65.2399;;11.3908;1.3923;0.542;;3.7714;2.6299;2.5903;;;0.080608;75.8188;0.88669;11.7551;0.56044;0.05496;4.1096;;26.4266;13.3355;;;12.3496;;1.1024;0.20152;0.36268;8.6336;8.7125;207.2354;9.078;0.16122;0.11542;;55.7161;915.3428;0.091495;;;0.01832;0.047632;0.010992;0.01832;0.010992;3.5684;0.81267;16.0284;;0.28946;2.0921;34.3738;4.5589;0.014656;0.087936;102.1198;14.4487;53.6069;2.3336;1.2692;0.42869;0.003664;48.7995;20.3573;3.0609;12.5285;4.1924;0.70349;4.1407;;0.0916;0.010992;4.5979;1.7647;17.3408;16.7823;;;0.40644;277.3855;0.010992;588.6148;2877.3698;4.1168;45.1325;;51.8798;7.9783;;;2.6637;3.709;5.0613
1962;0.68859;2.4622;5.661;;1.1791;;0.10259;53.6401;7.8061;0.70894;94.8235;33.865;22.3114;0.72547;1.5902;2.5168;0.26014;48.9867;98.0183;0.069616;0.13557;0.15755;;1.099;0.53349;5.6451;;53.6314;0.003664;0.37006;30.704;0.084272;0.043968;0.30778;0.28946;206.9908;0.01829;;0.07328;0.084272;16.7074;439.3421;19.4195;0.010992;0.23816;;0.5496;0.58624;6.1503;14.1545;10.2681;0.90462;114.5661;2.1719;36.8899;0.047632;0.010992;1.2411;1.5637;18.5711;0.64826;0.021984;;11.3439;0.39553;0.11725;;0.23083;16.7903;298.8665;;0.047632;0.087936;0.025648;11.9485;883.1686;1.4326;;10.1488;0.26381;0.025648;;1.3809;0.65952;0.040304;0.67784;0.30387;0.69959;3.6815;50.5122;1.1977;143.4518;22.9749;37.4284;9.0208;13.1067;7.9324;146.255;2.117;292.8644;1.047;100.925;2.622;0.010992;;14.2786;9.2934;0.1319;7.2483;2.8508;;0.25282;1.0479;;13.4993;11.5407;0.095264;4.1395;0.39565;0.36061;4.7765;;0.13923;0.32976;;;0.062288;0.25282;63.7437;;11.9695;1.9712;0.55618;0.003664;3.0749;1.9852;2.8797;;;0.087936;83.2819;0.56426;11.1983;0.65934;0.065952;4.175;;30.6874;14.0604;;;13.5699;;1.1903;0.19786;0.39199;9.9596;10.3359;216.6072;9.2899;0.19053;0.12366;;63.8128;960.6122;0.084272;;;0.01832;0.032976;0.010992;0.01832;0.010992;6.25;0.81267;16.4479;;0.3261;2.5753;36.6308;4.6782;0.014656;0.10626;105.67;17.2616;59.9758;2.5608;1.3598;0.49464;;51.2726;24.1197;3.1999;14.1648;4.4014;0.76578;5.0268;;0.087936;0.010992;7.2321;1.7939;21.6045;17.6421;;;0.42845;291.014;0.01832;592.9315;2984.0017;4.0069;47.4259;0.040304;54.0561;9.3377;;;3.8838;3.5827;4.889
1963;0.70674;2.0812;5.4192;;1.1497;;0.084272;50.0327;8.3768;0.67909;100.9343;36.9491;23.9502;0.70715;1.1945;2.8932;0.19053;52.5495;105.6764;0.062288;0.12091;0.15022;;1.2125;0.51103;6.28;;55.5509;0.003664;0.35541;34.3741;0.087936;0.047632;0.38838;0.30045;210.9108;0.014626;;0.07328;0.0916;17.337;435.5176;21.2328;0.010992;0.2345;;0.6009;0.62288;6.8421;13.0259;9.8357;0.98523;120.5171;2.2927;40.6679;0.065952;0.014656;1.2485;1.7943;21.5269;1.1245;0.025648;;12.1684;0.42121;0.12458;;0.24182;19.3365;334.2264;;0.065952;0.07328;0.029312;12.8173;945.498;1.7221;;12.2395;0.32976;0.014656;;1.5199;0.69616;0.047632;0.61555;0.24894;0.71058;4.2457;56.2278;1.304;154.0682;22.7631;41.3049;9.3834;13.4473;8.1996;164.5562;2.3955;324.8355;1.219;108.1944;2.8529;0.01832;;17.012;9.9617;0.14656;7.7749;3.0228;;0.35541;1.4619;;14.4878;11.4382;0.10626;4.605;0.46149;0.34671;5.828;;0.17587;0.41037;;;0.087936;0.20885;66.2922;;12.8402;1.6012;0.61873;0.003664;3.9541;1.6591;2.6339;;;0.098928;91.1446;0.61922;12.2165;0.84251;0.087936;5.3436;;32.8265;14.9653;;;15.6002;;1.1829;0.25648;0.41031;10.2232;11.4718;230.9988;10.0116;6.1335;0.13984;;69.4555;1030.1191;0.084272;;;0.021984;0.03664;0.014656;0.021984;0.007328;6.9388;0.86027;18.2976;0.007328;0.37006;3.3958;38.534;5.2043;0.014656;0.10259;109.7252;21.0832;58.7429;2.5315;1.5378;0.53128;;55.3131;29.0667;3.6063;15.1086;4.7206;0.80242;5.5616;;0.10626;0.010992;1.3074;1.9441;22.6399;18.9511;;;0.43214;312.0262;0.021984;603.3857;3116.0224;4.3148;50.9566;0.032976;56.1517;9.1104;;;2.9165;3.4445;4.7004
1964;0.83855;2.0152;5.643;;1.2229;;0.0916;55.67;8.9131;0.66028;108.8758;38.8964;25.4908;1.0845;1.5975;2.9746;0.17954;55.8951;103.554;0.084272;0.1429;0.20152;;1.48;0.49687;7.1149;;56.6667;0.007328;0.34075;42.8181;0.10992;0.047632;0.34072;0.33709;237.5777;0.029253;;0.07328;0.098928;17.5051;435.7038;21.6829;0.010992;0.26747;;0.67406;0.76211;7.7525;14.279;9.5633;0.99997;125.4247;1.974;43.1469;0.084272;0.014656;1.7465;2.1423;25.4912;1.2307;0.025648;;12.9421;0.40653;0.12091;;0.42491;22.8277;345.5381;;0.065952;0.19053;0.029312;13.6338;968.9175;1.6488;;13.2016;0.3151;0.021984;;1.769;0.69982;0.058624;0.64853;0.30021;0.72151;4.2201;62.3412;1.3076;150.639;22.3743;47.5191;9.064;14.2161;9.1373;175.7211;4.0622;358.8911;1.2408;115.0279;2.8233;0.01832;;25.3146;10.5896;0.17221;8.2696;3.2611;;0.48365;0.66318;;15.4156;12.2956;0.12824;5.2173;0.48347;0.32964;7.3994;;0.17587;0.4983;;;0.11725;0.30778;74.2001;;13.6605;2.0445;0.701;0.007328;4.415;2.139;2.8574;;0.029312;0.15022;96.7766;1.0992;13.092;0.94874;0.095264;7.2667;;35.6182;16.1703;;0.010992;16.039;;1.2416;0.26747;0.43226;12.2528;12.8228;242.8805;11.0074;6.2691;0.1548;;72.037;1095.4677;0.03664;;;0.021984;0.047632;0.01832;0.025648;0.010992;7.0412;0.9225;20.7305;0.007328;0.30411;3.6998;40.1031;5.8964;0.01832;0.13557;119.546;22.1952;64.3238;2.2714;1.7025;0.60456;0.010992;60.3681;28.1257;4.3613;16.9072;5.0205;1.0332;7.4703;;0.1319;0.010992;3.7915;2.7535;26.303;20.1827;;;0.49068;331.7753;0.01832;607.866;3252.7552;4.5527;54.2875;0.062288;56.55;11.7878;;;3.631;3.275;4.4691
1965;1.0069;2.1728;6.5885;;1.1862;;0.15022;58.8048;9.4567;0.59239;120.8527;38.1406;27.0485;1.3154;1.2274;3.1213;0.20518;59.2983;105.3308;0.084272;0.15022;0.17954;;1.5093;0.44578;7.3205;;56.3296;0.007328;0.33342;46.2691;0.10259;0.03664;0.40283;0.31144;251.917;0.025589;;0.087936;0.10626;17.7473;474.6806;22.8587;0.014656;0.24549;;0.84591;1.1725;7.9776;14.5941;8.58;1.1501;122.2119;2.4685;44.2934;0.12091;0.014656;1.5453;2.274;27.6095;1.0402;0.029312;;13.7299;0.64448;0.13557;;0.34427;25.3001;352.1116;;0.084272;0.21618;0.029312;14.4638;960.1022;1.7038;;16.999;0.34442;0.021984;;1.9739;0.69616;0.065952;1.0772;0.30393;0.75073;4.8025;61.2341;1.3955;165.9614;24.6682;53.7184;19.2931;13.7174;12.9288;189.5284;2.9886;386.4712;1.4204;122.0274;2.4639;0.010992;;35.3906;11.234;0.17954;8.773;3.312;;0.55693;1.0149;;16.3566;12.1929;0.1319;5.368;0.55678;0.34796;8.3802;;0.19786;0.47266;;;0.16122;0.30411;75.1679;;14.5062;1.9566;0.72125;0.003664;4.2544;2.0033;2.7255;;0.032976;0.17954;100.4036;1.2311;13.6853;0.78016;0.0916;11.7501;;44.2221;16.3899;;0.025648;16.8296;;1.5272;0.30411;0.54948;11.9515;13.9646;246.9809;11.5825;6.2874;0.20213;;78.6369;1162.0492;0.047632;;;0.025648;0.040304;0.014656;0.029312;0.010992;4.2163;1.692;21.3294;0.007328;0.28213;2.5273;39.0757;6.0668;0.025648;0.1319;128.14;24.9783;71.0205;2.656;2.2231;0.79509;0.080608;62.5622;30.3289;3.6723;17.8448;5.3261;1.1615;7.4402;;0.1319;0.010992;5.1911;2.4604;27.353;21.4211;;;0.62601;351.8842;0.021984;622.1116;3388.1927;5.5163;57.6262;0.047632;60.7296;13.1499;;;3.9278;3.9123;5.2092
1966;1.0912;2.5501;8.4209;;1.5525;;0.34808;63.0727;9.9884;0.55394;120.2193;39.2086;28.5699;1.0919;0.64853;3.1763;0.26747;62.6303;105.0967;0.080608;0.11358;0.20152;;1.6888;0.41685;7.254;;64.2116;0.010992;0.49098;48.716;0.10259;0.047632;0.46875;0.34442;259.0744;0.021984;;0.084272;0.084272;18.7725;521.4589;23.4742;0.01832;0.30778;;0.99247;1.2384;7.9055;15.1694;8.0232;1.2417;121.5223;2.4025;50.0784;0.13923;0.014656;1.6697;2.4167;26.5322;1.3038;0.025648;;14.502;0.82398;0.13923;;0.32225;29.4888;347.6048;;0.12091;0.38106;0.032976;15.2759;951.422;1.44;;18.6206;0.38838;0.029312;;1.7396;0.71814;0.065952;1.1798;0.30396;0.80566;5.1616;61.6729;1.4944;171.6884;23.375;64.1034;27.6761;15.0949;13.5814;213.9823;3.516;419.2451;1.5813;128.8762;2.6801;0.010992;;35.1231;11.8651;0.2345;9.2657;3.6229;;0.61189;2.6271;;17.2785;11.6104;0.15022;5.3192;0.5787;0.42851;9.8344;;0.19053;0.41403;;;0.17954;0.2748;80.8446;;15.3361;1.9529;0.7147;0.007328;5.4595;2.1242;2.8061;;0.032976;0.19053;103.5575;1.5096;14.0003;0.95964;0.13551;12.8932;;47.5999;19.5401;;0.029312;17.1257;;1.6555;0.34075;0.51284;13.2411;16.1041;252.431;11.8351;6.2728;0.22015;;84.0907;1227.1593;0.043968;;;0.029312;0.043968;0.01832;0.025648;0.010992;6.4073;1.7176;21.1353;0.007328;0.30045;0.67259;38.855;6.0117;0.025648;0.13923;128.2349;29.9822;77.617;2.6597;2.4212;1.0955;0.20152;72.5174;31.4856;4.9109;19.4616;5.6253;1.3701;9.4654;;0.17954;0.010992;4.0515;2.8816;31.5058;22.6287;;;0.73232;371.5459;0.025648;618.0747;3559.1792;5.3988;60.8755;0.076944;56.974;19.1811;;;3.4625;3.4982;6.0409
1967;1.2819;2.6784;8.4316;;0.99181;;0.56426;65.476;10.4506;0.68236;129.1442;39.9156;29.8917;1.701;1.0039;3.3711;0.33709;65.5186;107.361;0.12091;0.1429;0.21251;;1.8904;0.51349;7.3271;;66.0794;0.003664;0.43968;55.1077;0.10259;0.047632;0.41746;0.458;281.637;0.01832;;0.0916;0.11725;19.2383;432.2236;24.6868;0.01832;0.32243;;0.87525;1.3593;7.9862;15.7369;9.8831;1.3623;121.2687;2.2888;49.0264;0.087936;0.021984;1.5669;2.5889;19.6499;1.1573;0.025648;;15.1721;1.073;0.16854;;0.35523;28.5877;372.4753;;0.13923;1.0113;0.032976;15.9783;936.2294;1.4949;;19.5042;0.4177;0.03664;;1.9813;0.72547;0.047632;1.3227;0.26;0.87525;6.0521;58.7708;1.4431;172.0931;24.54;67.8809;18.373;16.3948;13.5279;234.1297;3.8642;489.3074;1.413;134.7248;2.6984;0.021984;;25.4208;12.4044;0.31877;9.6918;3.5646;;0.61189;18.4922;;18.0846;11.3503;0.16488;5.3728;0.84248;0.36622;10.1276;;0.2235;0.52029;;;0.19786;0.4983;90.0055;;16.0482;2.1251;0.7219;0.007328;5.4083;1.8713;3.6158;;0.047632;0.21251;106.6822;1.4729;13.6268;1.0805;0.13181;12.8245;;52.392;19.3042;;0.13557;18.1759;;1.6957;0.43602;0.48725;13.6403;18.2089;259.0255;12.3916;6.6831;0.26533;;92.0288;1283.1268;0.040304;;;0.032976;0.051296;0.01832;0.025648;0.010992;25.4855;0.69914;21.348;0.007328;0.25282;3.0539;38.7739;6.0723;0.032976;0.22717;133.7601;35.1132;86.394;2.9451;2.9181;1.3337;0.22717;68.9297;32.5194;4.6032;21.9699;5.8838;1.7581;12.1501;;0.19786;0.014656;4.6342;3.0832;33.4791;23.6835;;;0.80918;388.4092;0.916;592.057;3693.2982;4.8788;63.7123;0.084272;65.7524;22.9622;;;3.0521;4.7876;5.2945
1968;1.2234;3.0704;9.0502;;1.6695;;0.98928;69.0092;10.7504;0.63451;134.4969;42.2971;30.7502;1.6277;1.1029;3.8657;0.43968;67.3866;118.4376;0.10259;0.15389;0.2235;;2.1761;0.47748;7.8366;;77.2714;0.014656;0.42869;59.4635;0.10259;0.05496;0.49074;0.50563;303.2613;0.029282;;0.1832;0.12458;21.2022;467.8056;26.5728;0.01832;0.45067;;1.0364;1.5975;8.5417;16.0195;9.1901;1.6222;126.8766;3.366;53.2727;0.12091;0.021984;2.3473;3.1126;22.8726;1.2598;0.029312;;15.6054;1.725;0.1832;;0.3955;33.2815;385.101;;0.15389;1.9602;0.03664;16.4323;984.7908;1.7615;;22.2863;0.54227;0.040304;;2.1391;0.74746;0.062288;1.33;0.26363;1.2232;6.198;61.0932;1.5934;187.1046;27.5626;82.3296;19.6957;17.8016;13.7942;249.1722;3.8785;561.9126;1.504;138.4647;2.8154;0.032976;;22.4237;12.7493;0.16854;9.9672;3.6933;;0.88282;30.1144;;18.6094;12.259;0.16854;5.7465;0.91207;0.38815;10.5302;;0.19786;0.63754;;;0.2345;0.63754;93.8872;;16.5093;2.4802;0.7721;0.007328;5.6202;2.7762;2.9268;;0.047632;0.25282;113.4455;1.8393;13.4731;1.2307;0.16113;6.6259;;59.269;21.1137;;0.16122;20.8418;;2.0182;0.50197;0.58981;14.4866;22.2228;275.801;12.9924;7.0752;0.25862;;100.0794;1319.1296;0.05496;0.003664;;0.03664;0.040304;0.021984;0.029312;0.014656;29.0791;;22.8321;0.007328;0.36274;5.4131;40.5671;6.4946;0.03664;0.15389;137.9538;37.1971;97.0172;3.2381;2.8442;1.4509;0.27846;77.606;35.9813;5.9539;24.1406;6.0506;1.6518;17.0757;;0.19419;0.014656;4.0369;3.5923;36.2655;24.3728;;;0.98133;399.2261;1.2421;606.4883;3828.3061;4.8784;65.5735;0.062288;65.5721;23.6009;;;11.6369;4.5676;6.3777
1969;0.94123;3.2426;11.263;;2.7831;;1.2568;77.2489;11.2007;0.83041;142.1238;44.6384;32.0385;1.7408;1.2714;3.7493;0.47998;70.1996;123.4918;0.13557;0.20152;0.19786;;2.5462;0.62489;8.1251;;84.1327;0.01832;0.48731;66.3077;0.12091;0.07328;1.3444;0.57158;307.1192;0.036581;;0.18686;0.16122;22.5315;575.9447;28.0163;0.01832;0.50197;0.010992;1.1462;1.8906;8.8565;17.2433;12.0274;1.6698;134.6938;3.648;59.3426;0.084272;0.01832;2.6512;3.5889;19.6648;1.1902;0.043968;;16.2574;1.6664;0.21251;;0.43215;37.8968;413.7595;;0.16122;1.4326;0.047632;17.1171;1052.0008;1.6875;;25.4343;0.4067;0.047632;;2.2781;0.74746;0.058624;1.3667;0.3149;1.1756;7.7515;62.3582;1.2637;190.4004;33.3622;83.0387;22.6013;18.4944;14.8009;269.661;4.2669;653.2154;1.7568;144.1583;3.1265;0.010992;;26.8095;13.2739;0.31877;10.3825;4.3441;;1.2711;35.5222;;19.3933;13.1822;0.16854;5.9581;0.84975;0.38076;9.1378;;0.16122;0.65219;;;0.2748;0.57158;102.1762;;17.1988;2.6818;0.80054;0.007328;5.8174;3.2378;3.2126;;0.065952;0.39938;115.8021;1.5572;14.257;1.2856;0.19044;12.0999;;64.0794;22.1938;;0.2345;20.2134;;2.0511;0.55693;0.52014;15.2853;22.8295;293.3653;14.5928;7.1666;0.34839;;111.5274;1373.7523;0.058624;;;0.062288;0.032976;0.029312;0.029312;0.014656;35.271;0.49014;23.6727;0.007328;1.0845;7.1972;43.0668;6.7337;0.03664;0.16122;143.1428;42.4682;96.7369;4.3151;3.8315;1.5206;0.30411;86.3811;38.047;7.2326;26.291;6.3024;1.7947;14.54;;0.24182;0.010992;3.9012;3.8521;38.7527;25.4008;;;1.1754;415.7147;20.5074;628.3825;4021.5026;5.5894;68.3453;0.043968;68.9332;27.0556;;;4.6753;4.2709;6.7439
